alpha,rho,sigma,R,Nref,N,Z,closure,D_W,D_W_ci_low,D_W_ci_high,Q99_ref,Q99_finite,Delta99,Delta99_ci_low,Delta99_ci_high,M4_ref,M4_finite,paired_max_mean,paired_max_positive_fraction,panel,intensity,pdf_ref,pdf_finite,realization,max_finite,max_ref,delta_max
0.8,0.3,0.001,64.0,2048.0,128,15.0,corrected,8.299641810076328e-05,9.610794437063748e-05,0.0001545095926195,1.0397996459519694,1.0401163381193048,0.0003045703742719,-0.0005631383354977,0.0004541509933184,1.0017066743279543,1.001713333143284,-4.991744140972129e-06,0.53125,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,128,20.0,corrected,0.0003687873124651,0.0003725488771231,0.0006077755328394,1.1769954098786868,1.1754809785381457,-0.0012866926479325,-0.0016892770075944,0.0014738591813842,1.0297547794936857,1.0299381156772711,7.117660227819352e-05,0.5,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,128,25.0,corrected,0.003507997204639,0.002804029573206,0.0052825642464567,1.9960607680536395,2.0047185735087925,0.0043374458301664,-0.0034558711463854,0.0104069802830446,1.7707449225870489,1.779157509463957,0.0047922816336116,0.65625,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,128,30.0,corrected,0.0393393301848422,0.032453638599893,0.0561505558151478,8.09424221361779,9.324350347524067,0.1519732300371167,-0.0466869309536128,0.2762898294315208,1009.3490730298532,1002.5849297930312,0.1788369770154824,0.6875,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,128,15.0,open,0.0006914482508108,0.0005604190396596,0.0014213522964397,1.0397996459519694,1.0397351847331386,-6.199388418884359e-05,-0.0042679826772325,0.0029298423655331,1.0017066743279543,1.0017035087051456,0.0019484546957544,0.671875,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,128,20.0,open,0.0033407683341285,0.0023220496087943,0.0070102550583155,1.1769954098786868,1.177242615437234,0.0002100310302592,-0.0200466736885016,0.0183946289847447,1.0297547794936857,1.029558843479936,0.0091446328049966,0.671875,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,128,25.0,open,0.0162779737339026,0.0118190026437393,0.0351365394001523,1.9960607680536395,1.9585975138801748,-0.018768594009287,-0.078152476830545,0.0888719230431464,1.7707449225870489,1.7643148827243893,0.0612267021700635,0.71875,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,128,30.0,open,0.1147483194534066,0.0853486298053471,0.2083257498754908,8.09424221361779,11.695287994155738,0.4448897976489426,-0.0075566685080835,0.9754839661542528,1009.3490730298532,1822.7503967861903,2.2846507986135864,0.796875,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,256,15.0,corrected,3.377040252888516e-05,3.947920348987776e-05,5.4646322877024574e-05,1.0409567410046363,1.0408159196141753,-0.0001352807325356,-0.000232797847445,0.0001392330044609,1.0017676122320929,1.001767878660379,-3.1351875833043885e-06,0.484375,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,256,20.0,corrected,0.0001342244871021,0.0001430080332201,0.0002156815436153,1.1792852934346714,1.179004130822065,-0.0002384178062526,-0.0008005830889758,0.0007575376464857,1.0303882416659813,1.0303941884384304,7.009889551706783e-05,0.578125,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,256,25.0,corrected,0.0019331112963973,0.0015925122225721,0.0023294516699117,1.993149236940964,2.000018372529074,0.0034463729362549,-0.0015565162286042,0.0050964259801966,1.9557338759545897,1.9596145220014085,0.0030844862252863,0.875,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,256,30.0,corrected,0.0177787338708932,0.0167808907693107,0.022113855350506,10.53070799096552,10.511260977820106,-0.0018466956981523,-0.052427765700378,0.0565681036000474,1049.4393846219048,1048.4371468880354,0.1650834286027265,0.90625,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,256,15.0,open,0.0003451110333543,0.0003083625752569,0.0006294227988816,1.0409567410046363,1.0419733965785225,0.0009766549692593,-0.0019714330243849,0.002399671108079,1.0017676122320929,1.001789509472225,0.0012748349984825,0.75,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,256,20.0,open,0.0015961741262013,0.0014551226590496,0.0030014224324934,1.1792852934346714,1.1824926317373952,0.0027197306034254,-0.0122490885802892,0.0108012082279278,1.0303882416659813,1.0306147436801611,0.0063184861386179,0.734375,wasserstein,,,,,,,
0.8,0.3,0.001,64.0,2048.0,256,25.0,open,0.0085476670246052,0.0067803885372634,0.0152536348443448,1.993149236940964,2.0011039803830117,0.0039910425645078,-0.0355075998824838,0.0441102845833047,1.9557338759545897,1.868866841812654,0.0353775840186581,0.6875,wasserstein,,,,,,,
