alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel
0.8,0.3,128,0.0,0.0,4.999999999836233e-07,1.000002000001,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.3,128,0.1,0.0299905656290821,5.004612102696646e-07,1.000002000900503,3.2568798479863355e-09,1.574006962686886e-10,1.4298840086768412e-11,2.053278067120952e-11,0.0,-2.2204460492492028e-16
0.8,0.3,128,0.2,0.0599811312581643,5.018439524140961e-07,1.0000020035998234,6.516603134543162e-09,3.16044576753054e-10,5.722670822218272e-11,8.210539142371656e-11,0.0,-2.2204460492492028e-16
0.8,0.3,128,0.3,0.0899716968872464,5.04145590470968e-07,1.0000020081013878,9.782015508611424e-09,4.771503513958447e-10,1.2887751975412807e-10,1.8464121793502583e-10,0.0,-2.2204460492492028e-16
0.8,0.3,128,0.4,0.1199622625163286,5.073618307091374e-07,1.0000020144092467,1.3055967073078671e-08,6.418899727940486e-10,2.2940847372838338e-10,3.2801595286423687e-10,0.0,0.0
0.8,0.3,128,0.5,0.1499528281454107,5.11486864935351e-07,1.000002022529073,1.6341314582460828e-08,8.113706185711079e-10,3.5903949569398893e-10,5.120640591038503e-10,0.0,-2.2204460492492028e-16
0.8,0.3,128,0.6,0.1799433937744929,5.165135610242005e-07,1.000002032468171,1.964092368232597e-08,9.866221591709818e-10,5.180547158482749e-10,7.365853776780951e-10,-4.4408920984984055e-16,-2.2204460492492028e-16
0.8,0.3,128,0.7000000000000001,0.209933959403575,5.224336905813301e-07,1.0000020442354816,2.29576711352737e-08,1.168591197316315e-09,7.068016038296028e-10,1.001354740360229e-09,-4.4408920984984055e-16,-2.2204460492492028e-16
0.8,0.3,128,0.8,0.2399245250326572,5.292381838570586e-07,1.0000020578415882,2.6294447096301727e-08,1.3581415092995823e-09,9.256924969391995e-10,1.3061324760428298e-09,-4.4408920984984055e-16,-2.2204460492492028e-16
0.8,0.3,128,0.9,0.2699150906617393,5.369174003275144e-07,1.00000207329873,2.9654157308302343e-08,1.5560606712283191e-09,1.1752055419995504e-09,1.6506755151065972e-09,0.0,-2.2204460492492028e-16
